kernel,input,runtime
histogram_original,random_1,0.00018646
histogram_tlb,random_1,0.00137698
histogram_tlb_blr,random_1,0.00100381
histogram_linear,random_1,0.000354126
histogram_block_partition,random_1,1.3856e-05
histogram_original,random_2,0.00018629
histogram_tlb,random_2,0.00137303
histogram_tlb_blr,random_2,0.00100338
histogram_linear,random_2,0.000353765
histogram_block_partition,random_2,1.3857e-05
histogram_original,random_5,0.00018655
histogram_tlb,random_5,0.00137719
histogram_tlb_blr,random_5,0.00100434
histogram_linear,random_5,0.000354746
histogram_block_partition,random_5,1.4748e-05
histogram_original,random_256,0.000187172
histogram_tlb,random_256,0.00137324
histogram_tlb_blr,random_256,0.00100453
histogram_linear,random_256,0.000354446
histogram_block_partition,random_256,1.4397e-05
