kernel,input,runtime
histogram_original,random_1,0.00984804
histogram_tlb,random_1,0.00209722
histogram_tlb_blr,random_1,0.001389
histogram_linear,random_1,0.020889
histogram_block_partition,random_1,0.000342493
histogram_original,random_2,0.00549193
histogram_tlb,random_2,0.00163156
histogram_tlb_blr,random_2,0.00118433
histogram_linear,random_2,0.0207981
histogram_block_partition,random_2,0.000203502
histogram_original,random_5,0.0029308
histogram_tlb,random_5,0.00169118
histogram_tlb_blr,random_5,0.00123278
histogram_linear,random_5,0.0207994
histogram_block_partition,random_5,0.000152296
histogram_original,random_256,0.00270258
histogram_tlb,random_256,0.0122323
histogram_tlb_blr,random_256,0.0119292
histogram_linear,random_256,0.0207986
histogram_block_partition,random_256,0.00014852
