kernel,input,runtime
histogram_original,random_1,0.000262323
histogram_tlb,random_1,0.00184475
histogram_tlb_blr,random_1,0.00172282
histogram_linear,random_1,0.00230979
histogram_block_partition,random_1,2.0879e-05
histogram_original,random_2,0.000262292
histogram_tlb,random_2,0.00184341
histogram_tlb_blr,random_2,0.00172604
histogram_linear,random_2,0.00230878
histogram_block_partition,random_2,2.0879e-05
histogram_original,random_5,0.000261932
histogram_tlb,random_5,0.00186082
histogram_tlb_blr,random_5,0.00172903
histogram_linear,random_5,0.0023122
histogram_block_partition,random_5,2.0899e-05
histogram_original,random_256,0.000262433
histogram_tlb,random_256,0.0018524
histogram_tlb_blr,random_256,0.00172981
histogram_linear,random_256,0.00231155
histogram_block_partition,random_256,2.105e-05
