kernel,input,runtime
histogram_original,random_1,0.000447592
histogram_tlb,random_1,0.00450944
histogram_tlb_blr,random_1,0.00297492
histogram_linear,random_1,0.0208067
histogram_block_partition,random_1,0.000146034
histogram_original,random_2,0.000445507
histogram_tlb,random_2,0.00452761
histogram_tlb_blr,random_2,0.00300743
histogram_linear,random_2,0.0208087
histogram_block_partition,random_2,0.000146706
histogram_original,random_5,0.000447
histogram_tlb,random_5,0.00412269
histogram_tlb_blr,random_5,0.00295408
histogram_linear,random_5,0.0208078
histogram_block_partition,random_5,0.000146927
histogram_original,random_256,0.000445998
histogram_tlb,random_256,0.00440436
histogram_tlb_blr,random_256,0.00308231
histogram_linear,random_256,0.0208058
histogram_block_partition,random_256,0.000146795
