kernel,input,runtime
histogram_original,random_5,0.000504188
histogram_noloop,random_5,3.9024e-05
histogram_tlb,random_5,0.00193431
histogram_tlb_blr,random_5,0.00122604
histogram_linear,random_5,0.00172236
histogram_original,random_1,0.0011339
histogram_noloop,random_1,8.0452e-05
histogram_tlb,random_1,0.00190727
histogram_tlb_blr,random_1,0.0012139
histogram_linear,random_1,0.00172184
histogram_original,random_2,0.000908728
histogram_noloop,random_2,6.5393e-05
histogram_tlb,random_2,0.00187571
histogram_tlb_blr,random_2,0.00121395
histogram_linear,random_2,0.00172228
histogram_original,random_256,0.000448373
histogram_noloop,random_256,3.5137e-05
histogram_tlb,random_256,0.00279672
histogram_tlb_blr,random_256,0.00219641
histogram_linear,random_256,0.00128186
